name,state,id,pop_2020
Autauga County,Alabama,1c2b8376,56145
Baldwin County,Alabama,d37d1547,229287
Barbour County,Alabama,5497df67,24589
Bibb County,Alabama,10cd63f4,22136
Blount County,Alabama,e63a085c,57879
Bullock County,Alabama,0c785183,9976
Butler County,Alabama,ab61948e,19504
Calhoun County,Alabama,f41fcea1,113469
Chambers County,Alabama,a0dffd3d,32865
Cherokee County,Alabama,a50f0c1f,26294
Chilton County,Alabama,7a993762,44397
Choctaw County,Alabama,d808464b,12418
Clarke County,Alabama,4628deff,23291
Clay County,Alabama,57862d9f,13112
Cleburne County,Alabama,ba60adaa,14967
Coffee County,Alabama,13e168d3,53230
Colbert County,Alabama,bf4aa6cb,55411
Conecuh County,Alabama,c7ab1a01,11851
Coosa County,Alabama,b793597b,10650
Covington County,Alabama,f2270984,36930
Crenshaw County,Alabama,f2d6fcd5,13681
Cullman County,Alabama,6413720f,84515
Dale County,Alabama,ede1283d,48959
Dallas County,Alabama,30252a27,36098
DeKalb County,Alabama,8661efcb,71658
Elmore County,Alabama,06941439,82158
Escambia County,Alabama,0ccd20cf,36281
Etowah County,Alabama,6865b4c4,102371
Fayette County,Alabama,cb3bbdc3,16241
Franklin County,Alabama,bf2b91a3,31507
Geneva County,Alabama,479f8cce,26411
Greene County,Alabama,9c589749,7990
Hale County,Alabama,d16f4e5d,14670
Henry County,Alabama,d5cfdd4c,17223
Houston County,Alabama,8916399a,106580
Jackson County,Alabama,78910487,51582
Jefferson County,Alabama,e5d4e0fb,655342
Lamar County,Alabama,2a190298,13764
Lauderdale County,Alabama,6fb019b3,93368
Lawrence County,Alabama,7fe86038,32857
Lee County,Alabama,e2344d7b,166831
Limestone County,Alabama,adebe9e2,102228
Lowndes County,Alabama,7da195ee,9641
Macon County,Alabama,6edde082,17895
Madison County,Alabama,ce2ead6c,379453
Marengo County,Alabama,5f4ead0d,18733
Marion County,Alabama,805f757e,29703
Marshall County,Alabama,a6e59535,96990
Mobile County,Alabama,08c9ef9a,412716
Monroe County,Alabama,be74525c,20459
Montgomery County,Alabama,a8530c82,224639
Morgan County,Alabama,09d18c45,119883
Perry County,Alabama,0bb2942a,8687
Pickens County,Alabama,67606dc8,19793
Pike County,Alabama,b47cf913,32966
Randolph County,Alabama,1e3c8869,22920
Russell County,Alabama,e1a7d722,58237
St. Clair County,Alabama,7fa2d66b,90739
Shelby County,Alabama,590502de,221428
Sumter County,Alabama,8bddcfae,12225
Talladega County,Alabama,a5fb3fc4,79985
Tallapoosa County,Alabama,b5fd19fb,40133
Tuscaloosa County,Alabama,0a27b00a,210758
Walker County,Alabama,85002020,63143
Washington County,Alabama,c30c8961,15976
Wilcox County,Alabama,ad551213,10206
Winston County,Alabama,5e601ad6,23508
Aleutians East Borough,Alaska,da9d26ac,3401
Aleutians West Census Area,Alaska,46ce6d7d,5680
Anchorage Municipality,Alaska,5b72ec17,287095
Bethel Census Area,Alaska,68da6c8a,18437
Bristol Bay Borough,Alaska,34609d80,788
Chugach Census Area,Alaska,09871493,6427
Copper River Census Area,Alaska,7facdb21,2919
Denali Borough,Alaska,95a8ddfe,2081
Dillingham Census Area,Alaska,bc36613d,4833
Fairbanks North Star Borough,Alaska,58e93e7b,95651
Haines Borough,Alaska,0916156b,2614
Hoonah-Angoon Census Area,Alaska,187fa060,2141
Juneau City and Borough,Alaska,b3b6e9f0,31849
Kenai Peninsula Borough,Alaska,45cc1f68,59414
Ketchikan Gateway Borough,Alaska,30b6684b,13747
Kodiak Island Borough,Alaska,1ae12c5c,12992
Kusilvak Census Area,Alaska,3850efda,8328
Lake and Peninsula Borough,Alaska,d591dfe3,1493
Matanuska-Susitna Borough,Alaska,1e2a54c3,110213
Nome Census Area,Alaska,df248e02,9909
North Slope Borough,Alaska,7907afe7,9294
Northwest Arctic Borough,Alaska,6bdc3514,7644
Petersburg Borough,Alaska,a1b29dbf,3296
Prince of Wales-Hyder Census Area,Alaska,a30dda2c,6147
Sitka City and Borough,Alaska,ec2c4acf,8405
Skagway Municipality,Alaska,90b60df2,1179
Southeast Fairbanks Census Area,Alaska,e7a7c968,6957
Wrangell City and Borough,Alaska,69180c0b,2510
Yakutat City and Borough,Alaska,c1c7410d,637
Yukon-Koyukuk Census Area,Alaska,2ff3c5cf,5077
Apache County,Arizona,de9c6ef0,71875
Cochise County,Arizona,72f73088,127450
Coconino County,Arizona,1da321bb,142481
Gila County,Arizona,6b774b01,54303
Graham County,Arizona,77478683,39211
Greenlee County,Arizona,c3786711,9341
La Paz County,Arizona,c984e378,21480
Maricopa County,Arizona,d0716619,4579081
Mohave County,Arizona,e861e26f,217206
Navajo County,Arizona,e5e69160,112112
Pima County,Arizona,fac75bcf,1061175
Pinal County,Arizona,d8e58460,480828
Santa Cruz County,Arizona,146a1ae9,46808
Yavapai County,Arizona,ba630c25,240226
Yuma County,Arizona,82669bf9,217824
Arkansas County,Arkansas,5a47cfaa,17383
Ashley County,Arkansas,4dcf3e9b,19339
Baxter County,Arkansas,4de65233,42242
Benton County,Arkansas,6eb348e9,288774
Boone County,Arkansas,0caed6b5,37625
Bradley County,Arkansas,ff49722b,10639
Calhoun County,Arkansas,9b047794,5113
Carroll County,Arkansas,350e302f,28276
Chicot County,Arkansas,687abd19,9924
Clark County,Arkansas,b409c702,22103
Clay County,Arkansas,529ca69e,14375
Cleburne County,Arkansas,f7d5985d,24935
Cleveland County,Arkansas,e8111ed6,7957
Columbia County,Arkansas,4aba9e9c,23331
Conway County,Arkansas,6aa1734e,21037
Craighead County,Arkansas,1e863f23,112245
Crawford County,Arkansas,a3ab649e,63409
Crittenden County,Arkansas,d3271f2b,47616
Cross County,Arkansas,1d29b444,16142
Dallas County,Arkansas,77d0a597,6802
Desha County,Arkansas,b7eb71c3,11110
Drew County,Arkansas,9d26ca65,17977
Faulkner County,Arkansas,daaf56dc,126919
Franklin County,Arkansas,1f1c59b6,17897
Fulton County,Arkansas,da855ca7,12381
Garland County,Arkansas,da7d741e,99789
Grant County,Arkansas,f453e1d2,18449
Greene County,Arkansas,e5f499ae,45597
Hempstead County,Arkansas,465a2dd7,21253
Hot Spring County,Arkansas,63a8d563,33787
Howard County,Arkansas,47af2937,13109
Independence County,Arkansas,d99b1946,37757
Izard County,Arkansas,0b385c79,13613
Jackson County,Arkansas,a42085ca,16636
Jefferson County,Arkansas,23c0d401,65377
Johnson County,Arkansas,8c5a2764,26513
Lafayette County,Arkansas,fe677959,6596
Lawrence County,Arkansas,a9690a3a,16410
Lee County,Arkansas,609b29b4,8513
Lincoln County,Arkansas,3016f8f5,12944
Little River County,Arkansas,97aa8b42,12180
Logan County,Arkansas,a57e2b72,21410
Lonoke County,Arkansas,39aaa91d,73921
Madison County,Arkansas,c0180157,16644
Marion County,Arkansas,99fad7f1,16790
Miller County,Arkansas,6922324f,43177
Mississippi County,Arkansas,685eb0d4,40066
Monroe County,Arkansas,45084680,6584
Montgomery County,Arkansas,fced2867,9006
