,name_x,state,id_x,pop_2020,name_y,id_y
46,Covington city,Texas,0989e8f4,283,King County,c13dddb2
47,Hays city,Texas,280ad24f,283,King County,c13dddb2
51,Turkey city,Texas,7fa49b94,379,Kenedy County,a4d1bcf4
33,Oneida township,Nebraska,f4795423,474,McPherson County,87b8e845
34,Stocking township,Nebraska,1126d81b,474,McPherson County,87b8e845
30,Clarkson city,Nebraska,6342569f,630,Grant County,1c25f040
29,Chapman township (Saunders County),Nebraska,f92ab166,630,Grant County,1c25f040
32,Lone Tree township (Merrick County),Nebraska,bb27d978,647,Hooker County,8eda7d8c
31,Clarksville township,Nebraska,fbeac5b8,647,Hooker County,8eda7d8c
49,Hillcrest village,Texas,c24e369b,706,Borden County,d27edb6b
48,Falls City city,Texas,7fa110f8,706,Borden County,d27edb6b
38,North Emmons UT,North Dakota,9272e26d,747,Slope County,a494e749
35,Utica village,Nebraska,ee1ab014,786,Banner County,093579d8
42,Lincoln township (Brown County),South Dakota,45ac3a4b,1311,Harding County,930f7085
39,Elgin city,Oregon,05a1e1a2,1801,Sherman County,5ebccc9a
16,WaKeeney township,Kansas,690aa3c1,2074,Wichita County,0685cd00
52,Windcrest city,Texas,d61307fd,5854,Carson County,0f0d78b7
41,Selinsgrove borough,Pennsylvania,826598b4,5913,Sullivan County,cc0f6559
50,Joshua city,Texas,98890ddf,8202,Mitchell County,d273fdd3
17,Edgewood city,Kentucky,3a75e019,8779,Gallatin County,37f596be
91,Beckley city,West Virginia,f4f2d0d3,15805,Lewis County,b824d563
25,Red Wing city,Minnesota,76afc708,16416,Kanabec County,e73f0da1
92,Fox Crossing village,Wisconsin,d8c137bc,19119,Langlade County,804e8b36
24,Kalamazoo charter township,Michigan,aa1bdf60,22608,Menominee County,f30c4cf6
23,Harrison charter township,Michigan,a215e268,24765,Otsego County,5a73aa67
37,Wilson city,North Carolina,2c9958da,49479,Halifax County,04629727
