,name,state,id,pop_2020
22353,Ashby township,North Dakota,361350a1,4
22790,Fargo township,North Dakota,bb7c53e4,4
22979,Harper township,North Dakota,f9f82939,4
23149,Lansing township,North Dakota,17598fb5,4
23565,Redmond township,North Dakota,e900873c,4
23640,Ruso city,North Dakota,1babe19e,4
17212,Cave town,Missouri,049ee49d,6
18110,Three Creeks village,Missouri,40550735,6
22777,Evergreen township,North Dakota,89d26b41,6
22784,Fairview township,North Dakota,0196de5f,6
22923,Grano city,North Dakota,fbaa0e3c,6
23050,Hughes township,North Dakota,7582be61,6
23259,Mauch township,North Dakota,9a1911b6,6
30257,Dalzell Canyon UT,South Dakota,a20d5677,6
30439,Grandview II township,South Dakota,94a23607,6
30567,Jones UT,South Dakota,26145cd9,6
30673,Lowry town,South Dakota,a0683f94,6
30953,Rocky Ford township,South Dakota,d0a83546,6
31146,Virgil township,South Dakota,20635da1,6
31212,Westover UT,South Dakota,afdc2377,6
31220,White Hill UT,South Dakota,7210e106,6
22406,Bergen city,North Dakota,0c373698,7
22625,Crown Hill township,North Dakota,71be60af,7
23042,Hope township (Ramsey County),North Dakota,c7836533,7
23341,Mound township,North Dakota,2803be3b,7
23369,New Home township,North Dakota,830c2801,7
23552,Quinby township,North Dakota,b32cfa44,7
24012,Writing Rock township,North Dakota,48fd340e,7
22868,Gerber township,North Dakota,0847e3fe,8
23103,Kickapoo UT,North Dakota,cf3aaf3d,8
23211,Loraine city,North Dakota,5d343ff8,8
23405,North Loma township,North Dakota,28942d66,8
23486,Pearl township,North Dakota,cd95fcbf,8
23492,Perth city,North Dakota,4f0826aa,8
23630,Round Top township,North Dakota,3f458a3c,8
30748,Mullen township,South Dakota,ee453a36,8
30750,Mussman township,South Dakota,825f439c,8
30825,Pahapesto UT,South Dakota,2cb3fc0f,8
31153,Vrooman township,South Dakota,d0b9a81d,8
9224,Grant township (Decatur County),Kansas,36b5072f,10
9520,Lewis township,Kansas,e538e117,10
10366,Victor township,Kansas,aa7f0b9d,10
10385,Waldron city,Kansas,408f23bf,10
14866,Fork township,Minnesota,384a9e1c,10
15297,Kinbrae city,Minnesota,098123d4,10
16270,South Clearwater UT,Minnesota,cf078c0b,10
22872,Gerrard township,North Dakota,4d106cfd,10
22904,Gordon township,North Dakota,887a97ac,10
23295,Merrill township,North Dakota,42d283ac,10
23522,Plumer township,North Dakota,3f928205,10
23610,Roloff township,North Dakota,bb289ad8,10
23722,South Fork township,North Dakota,87e3d3cd,10
23966,Whitby UT,North Dakota,85f6f48e,10
2425,Marineland town,Florida,c6c21321,11
2581,Weeki Wachee city,Florida,e1268093,11
19922,Pine Valley borough,New Jersey,61ec2794,11
20044,Walpack township,New Jersey,f050fbb6,11
22530,Carroll township,North Dakota,a7b31f4b,11
22552,Central Pierce UT,North Dakota,10ee8ae6,11
22599,Conklin township,North Dakota,077c8938,11
22943,Grenora township,North Dakota,dbcd5f22,11
23223,Lyman UT,North Dakota,938c0464,11
23443,Oliver township,North Dakota,88a5e8bc,11
23506,Pillsbury city,North Dakota,f339b0d9,11
27420,Centralia borough,Pennsylvania,9f00795a,11
27707,East Keating township,Pennsylvania,c50d8d55,11
30214,Cloyd Valley township,South Dakota,07ddbc59,11
30362,Farmer town,South Dakota,d6bea905,11
30792,O'Neil township,South Dakota,dd54a995,11
30931,Rich Valley UT,South Dakota,d6b2307a,11
31065,Sumner township,South Dakota,80b87845,11
31142,Viking township,South Dakota,9d8caf2d,11
22422,Billings township,North Dakota,aff4cbd3,12
22508,Byersville township,North Dakota,15723695,12
22519,Canfield township,North Dakota,cd2292c7,12
22555,Chain Lakes township,North Dakota,7f216d64,12
22557,Chandler township,North Dakota,6db37ba2,12
22569,Churchs Ferry city,North Dakota,34a2b71c,12
22586,Clinton township,North Dakota,91aae5aa,12
22829,Forthun township,North Dakota,3b8300b0,12
22890,Glenila township,North Dakota,d7d43b5a,12
22971,Hansboro city,North Dakota,a61d141e,12
23045,Howe township,North Dakota,ea10ce2a,12
23544,Pretty Rock township,North Dakota,0a355ab4,12
8818,Cedar city,Kansas,587f80b2,13
8973,Deerhead township,Kansas,5a852cdf,13
10159,Sherman township (Decatur County),Kansas,ef756d7f,13
17225,Champ village,Missouri,71a0047b,13
17280,Corning town,Missouri,4b097e97,13
22310,Alexandria township,North Dakota,cdcaf2eb,13
22532,Carter township,North Dakota,e8db62d8,13
22879,Gilmore township,North Dakota,972267c1,13
23463,Overland township,North Dakota,6d51fcd2,13
23598,Rock Lake township,North Dakota,716e33dd,13
23754,Springfield township,North Dakota,8ee8172c,13
23886,Venturia city,North Dakota,8e3939ec,13
30157,Cash township,South Dakota,86333e32,13
30425,Glendo township,South Dakota,25cf1013,13
30526,Howard township (Meade County),South Dakota,b64d2513,13
30586,Kolls township,South Dakota,05f0bc96,13
30667,Lone Tree township (Tripp County),South Dakota,19b7a976,13
30689,Marlar township,South Dakota,00f59529,13
30897,Pulaski UT,South Dakota,c322a921,13
30943,Ring Thunder township,South Dakota,040e2599,13
30994,Sherman township (Corson County),South Dakota,5f5d9c9d,13
31263,Zickrick township,South Dakota,97372113,13
15139,Hill township,Minnesota,c72df988,14
16497,Upper Red Lake UT,Minnesota,da19cce8,14
22329,Amor township,North Dakota,11900bc9,14
22379,Bantry city,North Dakota,eea32496,14
22505,Butte township,North Dakota,1d082ed6,14
22807,Fischbein township,North Dakota,a3a01577,14
22808,Fisher township,North Dakota,a1ffd8d7,14
22862,Gascoyne city,North Dakota,893c591c,14
22932,Greely township,North Dakota,fba5c8f7,14
23105,Kief city,North Dakota,18fad8a5,14
23125,Ladd township,North Dakota,e5e7a8e2,14
23143,Langberg township,North Dakota,a4bfb4c6,14
23422,Northwest Stutsman UT,North Dakota,d7cee5d7,14
23497,Petersville township,North Dakota,f85195a8,14
23672,Seivert township,North Dakota,e2836c66,14
23898,Virginia township,North Dakota,399f9362,14
23979,Williams township (Kidder County),North Dakota,35ac275b,14
29977,Ada township,South Dakota,f0074044,14
30031,Bailey township,South Dakota,60de2d16,14
30291,Duck Creek UT,South Dakota,d7ce9e82,14
30293,Duell township,South Dakota,a8c8f5fc,14
30295,Dunkel township,South Dakota,c066461b,14
30371,Flat Creek township,South Dakota,74f61d20,14
30807,Onaka town,South Dakota,2a644fbe,14
31077,Taylor township (Tripp County),South Dakota,1bd8f7e9,14
31155,Wacker township,South Dakota,8354eb4f,14
22384,Barr Butte township,North Dakota,64f195d2,15
22480,Bruce township,North Dakota,e4b073e8,15
22544,Cecil UT,North Dakota,733cd35f,15
22858,Garner township,North Dakota,fea068cf,15
22863,Gascoyne township,North Dakota,a077ca37,15
22970,Hannah city,North Dakota,7d720dcf,15
23067,Irvine township,North Dakota,82a239fc,15
23134,Lakeview township,North Dakota,08c44a13,15
23204,Loma city,North Dakota,36382f4f,15
23250,Marion township,North Dakota,0834598a,15
23338,Moscow township,North Dakota,cb05d842,15
23710,Smith township,North Dakota,46326721,15
23818,Taylor Butte township,North Dakota,60d8bd1d,15
23897,Villard township,North Dakota,95a08b25,15
17307,Dalton town,Missouri,38a31576,16
17574,Irena village,Missouri,d12cc042,16
22323,Ambrose township,North Dakota,2cd418c4,16
22364,Ayr city,North Dakota,123faf00,16
22540,Cato township,North Dakota,a8b18123,16
22585,Climax township,North Dakota,6ae222a2,16
22714,Eastman township,North Dakota,dcf61f5b,16
22806,Finn township,North Dakota,49b35e12,16
23034,Hoffman township,North Dakota,b2f13d96,16
23064,Iosco township,North Dakota,cb83afbb,16
23166,Leith city,North Dakota,28667e65,16
23265,Maza township,North Dakota,a45c35e1,16
23347,Mouse River township,North Dakota,fbeaddd1,16
23440,Odessa township (Hettinger County),North Dakota,d946ab8b,16
23473,Palmer township,North Dakota,f7f7f7fa,16
23600,Rock township (Grant County),North Dakota,6442fa03,16
23697,Sibley Butte township,North Dakota,9b886f16,16
23702,Sidonia township,North Dakota,e6d7443a,16
23723,South Golden Valley UT,North Dakota,c9ae9c47,16
23757,St. Anna township,North Dakota,1025fa6a,16
22448,Boone township,North Dakota,a0ba7516,17
22472,Brittian township,North Dakota,811c0d57,17
22648,De Witt township,North Dakota,cb6d0151,17
22671,Dimond township,North Dakota,ddbc0488,17
22723,Edgemont township,North Dakota,e76ccad1,17
22838,Frederick township,North Dakota,289f0aa6,17
22869,German township,North Dakota,f948f58f,17
23000,Haynes township,North Dakota,75d39a4b,17
23001,Hazel Grove township,North Dakota,626dcf41,17
23229,Maine township,North Dakota,b3665617,17
23366,New City township,North Dakota,1eec6e1c,17
23423,Northwest township (Dickey County),North Dakota,d531e274,17
23464,Overly city,North Dakota,1f4c4b72,17
23482,Peabody township,North Dakota,f88c4db9,17
23859,Twin Butte township,North Dakota,1098f89d,17
23904,Wagendorf township,North Dakota,070adb82,17
8610,Altory township,Kansas,a90b2118,18
9149,Frederick city,Kansas,c891ceb7,18
9934,Penalosa city,Kansas,ab3a812b,18
10169,Shiley township,Kansas,33d90105,18
22376,Balta township,North Dakota,dee451fa,18
22492,Bull Butte township,North Dakota,839c1721,18
22513,Calvin city,North Dakota,934a96f8,18
